INFO 2026-01-15 15:30:50,273 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1756806607.153228
DEBUG 2026-01-15 15:30:50,352 autoreload File C:\Python313\Lib\email\_encoded_words.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1756806607.8883107
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1756806607.1552362
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1756806607.8848107
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1756806607.9188297
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1756806607.8928137
DEBUG 2026-01-15 15:30:50,352 autoreload File C:\Python313\Lib\sqlite3\__init__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,352 autoreload File C:\Python313\Lib\email\__init__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,353 autoreload File C:\Python313\Lib\json\decoder.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,353 autoreload File C:\Python313\Lib\bisect.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,353 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1756806607.7930803
DEBUG 2026-01-15 15:30:50,353 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\apps\config.py first seen with mtime 1756806607.2165072
DEBUG 2026-01-15 15:30:50,353 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1756806607.2980733
DEBUG 2026-01-15 15:30:50,353 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1756806607.4629538
DEBUG 2026-01-15 15:30:50,353 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1756806607.4639592
